Celula,Promedio (0 um),Error (0 um),Maximo (0 um),Promedio (10 um),Error (10 um),Maximo (10 um),Promedio (20 um),Error (20 um),Maximo (20 um),Area,Clase
B30_R02,0.0247966997412367,0.0188851244375892,0.0713763109585629,0.0281583821146833,0.0192341978233112,0.0940251502962949,0.0301334520509973,0.0214396577257136,0.0998319495755087,391.7573577850341,MCF7SS
B30_R03,0.0450331147437303,0.0244247904818085,0.1014925715767252,0.051853963134836,0.0234220309307662,0.1120005349880216,0.049597981394023,0.0245705757137974,0.1179709482274154,651.4369496898651,MCF7SS
C23_R01,0.0035096534112965,0.0080903864405328,0.0422158203125,0.0047158205833072,0.0106564183469533,0.0826604486416508,0.0085650839375021,0.0148036167573351,0.1002453148001511,806.54187602005,MCF7SS
C23_R02,0.0776214203360464,0.0484994129167087,0.177650455179042,0.0690968032454773,0.0452300100787351,0.177650455179042,0.0645997047106751,0.043358062895918,0.177650455179042,965.8880945557594,MCF7SS
D23_R02,0.0229431365438453,0.0222867286118214,0.0795373806423611,0.0227478314870892,0.0278934933922517,0.102998046875,0.0254433069986079,0.0295207190172579,0.102998046875,1674.1321881371498,MCF7SS
D23_R03,0.0241793602487157,0.017480748314479,0.0610560792589758,0.026342517390552,0.0189165851398551,0.0841261246999148,0.0256563727832526,0.0182930433606566,0.0841261246999148,515.4461282455444,MCF7SS
D23_R04,0.0001220477253401,0.0009491976099768,0.0107339409722222,0.0028785739390859,0.0063072941076088,0.0404439561631944,0.0041271657978294,0.0085380204331758,0.0542145889308175,689.9422508281707,MCF7SS
B23_R04,0.0263667607225776,0.0175713289497686,0.0850675242249527,0.0241403229536958,0.0189500377269492,0.0873278143324486,0.0258645817303308,0.0189600135978456,0.0873278143324486,739.8955572929382,MCF7SS
A23_R01,0.0318241471644549,0.0200475158338288,0.0788130957641084,0.0395010151498056,0.0234645818809095,0.125313061354752,0.0410890880824468,0.0245229470280185,0.125313061354752,602.1561600056648,MCF7SS
A16_R03,0.0296631756183917,0.0240423470171208,0.0926265061954219,0.0313295196173537,0.0234053754400399,0.0971502306109772,0.0301498252059498,0.0220304071455037,0.0971502306109772,1124.3469839702605,MCF7SS
D30_R02,0.1867717999656362,0.1363818439342402,0.8144366529868332,0.2004286653635395,0.1348936015246038,0.8144366529868332,0.1941142544535547,0.1300803399817231,0.8144366529868332,8829.910144000001,MCF7CS
D30_R03,0.1641959064198245,0.1578623202437602,0.6439620901738885,0.1323343850782435,0.1308903226744106,0.6439620901738885,0.0899554541179056,0.1103519455911787,0.6439620901738885,692.2822252052307,MCF7CS
D30_R04,0.2412617095342457,0.1974902449749634,0.8859405067786404,0.2225196044399175,0.1907971329925977,0.8859405067786404,0.1612164665917373,0.1675348784493098,0.8859405067786404,1203.1759098778723,MCF7CS
C30_R01,0.0364325733105702,0.0351478967172697,0.1387958984375,0.035360395948474,0.0375056061112213,0.1667063394778814,0.0314614955077084,0.0379877126570377,0.2161451365819678,761.8856647994041,MCF7CS
C30_R02,0.1126791406713657,0.0800637838012069,0.3166190796761809,0.1025900681588097,0.0737785806425088,0.3166190796761809,0.0805677186126559,0.0652488269120025,0.3166190796761809,1073.510841218376,MCF7CS
C30_R05,0.1809635954714718,0.0983611896824165,0.3886508963704308,0.1798590151646241,0.1294239540012912,0.6368121714229941,0.1456087841478404,0.1254039567065329,0.6368121714229941,1134.283226333618,MCF7CS
A30_R01,0.0570389933321467,0.0284882955624497,0.1347420085203692,0.0523168523166796,0.0347902260838887,0.2200445284024348,0.0484421406758566,0.0343988463642146,0.2200445284024348,535.8302770374297,MCF7CS
C16_R01,0.1151379849949461,0.0842280136944626,0.3673781525309161,0.1112277282717068,0.0852450543382673,0.4030317522861348,0.0900242825886396,0.0783843176322478,0.4030317522861348,1059.7106037902834,MCF7CS
C04_R14,0.1756264558146424,0.1101052184652283,0.5054060293632107,0.1765449233721396,0.1081320387679672,0.5054060293632107,0.1515877824967484,0.0997625946544645,0.5054060293632107,1592.308959178337,MCF10SS
C04_R15,0.1201415720144494,0.0883153696795303,0.4578385719973531,0.0989636361292125,0.0747741618531976,0.4769325555588335,0.0895522909207799,0.0833485560733221,0.6203927822913792,779.8059784423829,MCF10SS
C04_R17,0.1280189561345982,0.0961734931973585,0.4411321953062421,0.1046894294349094,0.0904418499430882,0.4411321953062421,0.0955837549534073,0.0932651813335751,0.5012326527076311,1509.2892526403962,MCF10SS
C04_R18,0.142195249397997,0.0651656788538693,0.2601480443750228,0.1206623985106576,0.0582545530945089,0.2601480443750228,0.0989216987218653,0.0613040264649728,0.2997289042681465,1369.953903867039,MCF10SS
I18_R26,0.081714302046915,0.0716715370088623,0.4455838649924165,0.1097445143179548,0.0989166822816507,0.4864743240672987,0.1168935668159833,0.096896693860815,0.4864743240672987,2873.063348938831,MCF10SS
I18_R27,0.2553542261980086,0.1328171529943406,0.5754448784722223,0.2266355914069628,0.1237719735012454,0.5754448784722223,0.183543590024341,0.1184491771870059,0.5754448784722223,2008.587663452324,MCF10SS
I18_R28,0.0636306835678096,0.0414482136533159,0.1784209096976764,0.0624679258126085,0.0531699466417078,0.2731796543996769,0.0536839077152418,0.0515505445646083,0.2731796543996769,1242.0769482938003,MCF10SS
I18_R29,0.2192290135276031,0.1120000858965089,0.4837570049826735,0.1746716015854544,0.1132505991331603,0.4837570049826735,0.1308165929962573,0.1078904565855212,0.4837570049826735,1775.2891989049567,MCF10SS
A04_R01,0.0514028103298584,0.0435030193977736,0.1524575211388735,0.0457232932038579,0.045537259122087,0.177410866571633,0.0417118533759122,0.0411708999793729,0.177410866571633,686.2706828424454,MCF10CS
A04_R04,0.0841774544390875,0.0397166841908454,0.198696175599224,0.081292263953089,0.0373032670299122,0.198696175599224,0.0665128937994063,0.0390697958717661,0.198696175599224,984.002168662262,MCF10CS
A04_R05,0.1258449211105298,0.0790013756517351,0.3331425512774331,0.1133815748676909,0.0728539934831345,0.3331425512774331,0.0869671591834936,0.0666865037585238,0.3331425512774331,1162.5342661792756,MCF10CS
D04_R06,0.2536576081476764,0.2919102349351377,1.2566266325211748,0.2365418630970116,0.2631666165895822,1.2566266325211748,0.1805033473975547,0.2241177945002644,1.2566266325211748,1571.559396960144,MCF10CS
D04_R07,0.1202495804523887,0.0868941639026715,0.4085886579909799,0.1272499288723589,0.1132352938941175,0.527044761979466,0.1089420842454593,0.1005593035862365,0.527044761979466,1799.3968857220611,MCF10CS
D04_R08,0.1873565208277865,0.0816358762965133,0.3506659949668291,0.1535548235393887,0.0794669844737093,0.3506659949668291,0.1248496601495918,0.0751478947620519,0.3506659949668291,1984.533620798141,MCF10CS
D04_R09,0.1814567625228331,0.0985152628633056,0.473965410822017,0.200701760797331,0.139777532388223,0.910318741126113,0.1815870848998045,0.1348796437912418,0.910318741126113,2070.299908477684,MCF10CS
E04_R11,0.0580218271932924,0.0589339069723038,0.229045342107977,0.0829439943362659,0.0634875524084257,0.2771709571601961,0.0859327308639169,0.0658655206558227,0.2954023583186043,1684.8665978837928,MCF10CS
E04_R12,0.1879944233489716,0.0979389636640605,0.4817718722222546,0.1904582077431134,0.1001793755911212,0.5205797536095237,0.1596797375581957,0.0998287244175519,0.5205797536095237,1973.90134770702,MCF10CS
E04_R13,0.0701742811373827,0.0474039343178992,0.2191196713384438,0.0813674166291237,0.0552866523060064,0.3078853052280257,0.0786982221057022,0.0612718681930703,0.3839343165542046,771.9581276332855,MCF10CS
G18_R20,0.2002314124949503,0.1012176737494337,0.4509010882610865,0.1858210447670485,0.1314341079002443,0.5517308574855913,0.1544503538581285,0.1222905186250875,0.5517308574855913,1797.058000218666,MCF10CS
G18_R22,0.5867170069344163,0.3746700047694112,1.7163173007062005,0.6855185975775231,0.4632961169948054,2.3936148055353983,0.6038906144928629,0.4500374010388868,2.3936148055353983,3249.691034761566,MCF10CS
G18_R25,0.4807479278158713,0.2930144696829615,1.208379439274743,0.4858570812399487,0.3016641748964372,1.2800253617703197,0.3816900972587512,0.3003442920651026,1.2800253617703197,2324.4981388994256,MCF10CS
